x,y,recode_level_total
0,52,16
2,52,7
2,51,5
3,51,11
4,51,10
5,50,1
5,51,11
6,50,3
6,49,2
6,51,8
7,48,4
7,47,3
7,51,7
8,46,92
8,48,6
8,45,12
8,47,57
8,49,9
8,51,8
9,46,41
9,48,2
9,50,8
9,45,13
9,47,36
9,51,16
10,50,2
10,52,3
10,51,11
11,50,8
11,52,6
11,53,6
12,50,8
12,54,8
12,53,2
12,55,3
13,50,7
13,56,5
13,55,5
14,50,8
14,56,3
14,57,5
15,50,5
15,58,4
15,49,2
15,57,4
16,31,21
16,58,4
16,49,4
16,59,4
17,30,15
17,31,55
17,60,4
17,43,1
17,49,4
17,53,12
17,59,5
18,30,9
18,31,95
18,32,10
18,48,3
18,54,11
18,60,6
18,43,3
18,53,14
18,61,4
19,30,6
19,32,6
19,48,3
19,62,6
19,33,2
19,43,2
19,53,11
19,55,10
19,61,8
20,30,4
20,48,3
20,56,11
20,62,19
20,33,7
20,43,2
20,53,8
20,57,4
20,61,8
20,63,18
21,29,3
21,42,3
21,48,3
21,58,11
21,60,10
21,33,6
21,53,7
21,57,6
21,59,1
22,29,4
22,34,3
22,42,2
22,48,3
22,33,2
22,53,6
22,59,22
23,29,3
23,34,4
23,42,2
23,48,1
23,47,2
23,53,4
24,29,2
24,34,3
24,42,2
24,48,31
24,50,17
24,47,3
24,49,19
24,53,3
25,29,1
25,30,1
25,31,2
25,32,1
25,34,1
25,42,1
25,48,8
25,50,38
25,56,29
25,35,2
25,41,1
25,47,4
25,49,1
25,53,3
25,57,4
26,19,4
26,20,5
26,21,3
26,22,3
26,23,4
26,24,3
26,25,4
26,26,4
26,27,4
26,28,5
26,29,8
26,30,9
26,31,4
26,32,3
26,34,1
26,46,3
26,48,7
26,50,25
26,56,47
26,33,3
26,35,4
26,41,2
26,49,11
26,53,3
26,55,12
26,57,9
27,18,3
27,19,2
27,30,3
27,34,3
27,36,31
27,46,3
27,48,7
27,50,19
27,54,3
27,56,14
27,64,8
27,65,16
27,35,2
27,37,6
27,41,2
27,49,9
27,53,2
27,55,24
27,57,12
27,63,5
28,18,3
28,30,2
28,36,14
28,46,1
28,48,9
28,50,6
28,54,2
28,62,2
28,35,7
28,37,25
28,41,2
28,45,2
28,51,1
