x,y,recode_level_total
15,77,9
16,14,4
16,76,9
16,77,55
17,12,4
17,13,4
17,14,1
17,15,6
17,72,2
17,76,14
17,73,5
17,74,1
18,11,5
18,12,2
18,16,5
18,72,3
18,76,5
18,74,4
18,71,4
18,75,12
19,10,6
19,11,3
19,16,4
19,70,2
19,74,37
19,71,1
19,75,5
20,10,11
20,16,2
20,17,1
20,70,3
20,74,18
21,8,12
21,9,29
21,10,24
21,17,3
21,72,2
21,69,1
21,73,6
21,70,2
21,74,2
22,7,20
22,8,6
22,9,8
22,10,3
22,17,4
22,72,3
22,69,3
22,71,6
23,6,45
23,7,20
23,10,8
23,17,3
23,69,6
23,70,5
24,10,3
24,11,6
24,17,2
24,18,1
24,24,2
24,25,5
24,68,5
24,69,5
25,11,4
25,12,2
25,18,4
25,24,5
25,25,3
25,26,1
25,68,4
25,67,4
26,12,5
26,18,3
26,24,4
26,26,3
26,38,1
26,40,2
26,68,4
26,39,4
26,66,2
26,67,3
27,12,4
27,18,3
27,24,1
27,25,3
27,27,2
27,38,3
27,40,1
27,42,1
27,68,2
27,37,3
27,41,4
27,66,4
28,12,2
28,13,3
28,18,3
28,19,1
28,25,3
28,27,2
28,42,3
28,68,2
28,65,4
28,37,4
28,66,1
29,13,4
29,19,3
29,25,1
29,26,3
29,28,2
29,42,1
29,44,1
29,64,9
29,68,2
29,65,12
29,37,4
29,43,4
29,63,9
30,13,4
30,19,3
30,26,3
30,28,1
30,29,2
30,44,6
30,46,12
30,62,7
30,64,5
30,68,2
30,37,4
30,43,2
30,45,12
30,47,7
30,63,5
30,66,10
31,13,6
31,19,1
31,20,2
31,27,4
31,29,1
31,30,1
31,42,5
31,48,12
31,62,7
31,64,1
31,68,2
31,37,4
31,43,3
31,47,12
31,61,3
31,63,3
31,66,1
31,67,8
32,14,6
32,20,4
32,27,1
32,28,3
32,30,2
32,38,3
32,40,3
32,68,5
32,69,1
32,37,1
32,41,4
32,61,8
32,63,4
32,67,5
34,15,4
34,21,2
34,22,1
34,29,6
34,30,8
34,31,6
34,32,2
34,36,11
34,38,1
34,60,3
34,62,2
34,69,10
34,33,2
34,39,5
34,59,3
34,61,3
34,70,7
34,71,1
36,15,3
36,21,6
36,22,3
36,23,3
36,24,6
36,25,5
36,26,4
36,27,4
36,28,5
36,29,1
36,30,1
36,31,5
36,36,8
36,40,2
36,58,3
36,60,9
36,62,3
36,76,2
36,35,1
36,37,3
36,57,16
36,59,14
36,61,4
36,63,8
36,70,2
36,74,6
36,75,8
38,16,3
38,21,6
38,25,2
38,26,2
38,31,1
38,32,3
38,36,9
38,38,1
38,40,1
38,58,5
38,64,5
38,72,1
38,33,2
38,37,1
38,41,1
38,57,14
38,59,2
38,63,4
38,78,51
38,71,1
38,79,7
40,12,13
40,13,2
40,14,3
40,15,1
40,17,2
40,21,7
40,24,1
40,25,3
40,28,4
